1,thunder,Charlie,s,Sheen,Charlie@sheen.com,/images/images.jpg,1,1,US,12/21/2012
2,thunder1,Tag,s,Attack,Tag@sheen.com,/images/images.jpg,1,1,US,12/21/2012
3,thunder3,Kdurant,Kevin,Durant,kdurant@abc.com,/images/images.jpg,0,0,MY,12/21/2012
4,thunder4,Rwestbrook,Russell,Westbrook,rwestbrook@abc.com,/images/images.jpg,0,0,NF,12/21/2012
5,thunder5,Sibaka,Serge,Ibaka,sibaka@abc.com,/images/images.jpg,0,0,NE,12/21/2012
6,thunder6,Kperkins,Kendrick,Perkins,Kperkins@abc.com,/images/images.jpg,0,0,AD,12/21/2012
7,thunder7,Tsefolasha,Thabo,Sefolasha,Tsefolasha@abc.com,/images/images.jpg,0,0,AF,12/21/2012
8,thunder8,Kmartin,Kevin,Martin,Kmartin@abc.com,/images/images.jpg,0,0,AM,12/21/2012
9,thunder9,Emaynor,Erik,Maynor,Emaynor@abc.com,/images/images.jpg,0,0,EC,12/21/2012
10,thunder10,Ncollison,Nick,Collison,Ncollison@abc.com,/images/images.jpg,0,0,EN,12/21/2012
11,thunder11,Jlamb,Jeremy,Lamb,Jlamb@abc.com,/images/images.jpg,0,0,IE,12/21/2012
12,thunder12,hthabeet,Haseem,Thabeet,hthabeet@abc.com,/images/images.jpg,0,0,IT,12/21/2012
13,thunder13,Pjones,Perry,Jones,Pjones@abc.com,/images/images.jpg,0,0,JE,12/21/2012
