1		abanks1u9r@yahoo.co.jp				0	0	0
1		aelliott1dmm@dailymotion.com				0	0	0
1		awalkersyn@desdev.cn				0	0	0
1		dmontgomery1x9h@archive.org				0	0	0
3		acarpenterabm@vimeo.com	0	Carpenter		0	0	0
3		aford1f6p@cornell.edu	0	Ford		0	0	0
3		afrazier1nck@biblegateway.com	0	Frazier		0	0	0
3		ahenderson11ir@artisteer.com	0	Henderson		0	0	0
3		alarson55n@ifeng.com	0	Larson		0	0	0
3		amartinezmph@youtu.be	0	Martinez		0	0	0
3		aray22k1@wufoo.com	0	Ray		0	0	0
3		astone195@hexun.com	0	Stone		0	0	0
3		bhart1aca@utexas.edu	0	Hart		0	0	0
